accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
AF489521,201847,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage 4268
AF493143,197783,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Ghunavirus,Pseudomonas virus gh1
AF503408,10682,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Punavirus,Escherichia virus P1
AF513032,204086,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus virus 44AHJD
AF513033,204090,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus phage P68
AF527608,200913,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Salmonella virus P22
AF543311,209052,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Naesvirus,Burkholderia virus Bcep781
AF547430,213236,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium virus Pg1
AF547987,10761,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Lederbergvirus,Shigella virus Sf6
AJ006589,10719,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lomovskayavirus,Streptomyces virus phiC31
AJ131519,12417,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactobacillus phage phiadh
AJ242593,40521,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Listeria phage A118
AJ245616,31754,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactococcus phage BK5-T
AJ251789,51369,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Lactobacillus phage A2
AJ251805,110457,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Teetrevirus,Yersinia virus YeO3-12
AJ278322,28358,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Sasvirus,Corynebacterium virus BFK20
AJ298298,103807,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Enterobacteria phage phiP27
AJ302074,120574,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage MM1
AJ304858,291401,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Enterobacteria phage CP-1639
AJ312240,171618,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Psavirus,Listeria virus PSA
AJ318471,10759,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Teetrevirus,Escherichia virus T3
AJ344259,157899,Viruses,,,Ligamenvirales,Rudiviridae,,Rudivirus,Sulfolobus islandicus rod-shaped virus 2
AJ414696,157898,Viruses,,,Ligamenvirales,Rudiviridae,,Rudivirus,Sulfolobus islandicus rod-shaped virus 1
AJ505558,204270,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Krylovirinae,Phikmvvirus,Pseudomonas virus phiKMV
AJ536073,1075161,Viruses,Preplasmiviricota,Tectiliviricetes,Kalamavirales,Tectiviridae,,Betatectivirus,Bacillus virus Bam35
AJ550940,225588,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lomovskayavirus,Streptomyces virus phiBT1
AJ556162,196242,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Enterobacteria phage BP-4795
AJ560763,230158,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Haemophilus phage Aaphi23
AJ564013,172667,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Yersinia phage PY54
AJ567472,235266,Viruses,,,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus,Acidianus filamentous virus 1
AJ609634,12402,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Streptococcus phage EJ-1
AJ630128,238854,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Synechococcus phage S-PM2
AJ635161,270161,Viruses,,,,Globuloviridae,,Globulovirus,Pyrobaculum spherical virus
AJ697969,273133,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Elvirus,Pseudomonas virus EL
AJ748296,282066,Viruses,,,Ligamenvirales,Rudiviridae,,Rudivirus,Sulfolobus islandicus rod-shaped virus 1
AJ783769,285013,Viruses,,,,Bicaudaviridae,,,Sulfolobus virus STSV1
AJ842011,294631,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Flavobacterium phage 11b
AJ875026,309181,Viruses,,,Ligamenvirales,Rudiviridae,,Rudivirus,Acidianus rod-shaped virus 1
AJ888457,315953,Viruses,,,,Bicaudaviridae,,Bicaudavirus,Acidianus two-tailed virus
AJ972879,331278,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Yersinia phage phiR1-37
AM076770,342373,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Yersinia phage PY100
AM084414,344021,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Kayfunavirus,Escherichia virus K1F
AM084415,344022,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Molineuxvirinae,Vectrevirus,Escherichia virus K1E
AM156909,355246,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,Braunvirinae,Rtpvirus,Escherichia virus Rtp
AM183667,369257,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Berlinvirus,Yersinia virus Berlin
AM265638,386792,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Krylovirinae,Phikmvvirus,Pseudomonas virus LKD16
AM265639,386793,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Krylovirinae,Stubburvirus,Pseudomonas virus LKA1
AM419438,416419,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Archaeal BJ1 virus
AM491472,424716,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Salmonella phage Vi II-E1
AM749121,372457,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptococcus phage M102
AM749441,462590,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Yuavirus,Pseudomonas virus Yua
AM910650,484895,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Bruynoghevirus,Pseudomonas virus LUZ24
AM910651,484896,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Krylovirinae,Phikmvvirus,Pseudomonas virus LUZ19
AP000363,97081,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Enterobacteria phage VT2-Sakai
AP001553,106284,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus virus phiETA
AP004402,180816,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Escherichia virus 933W
AP005153,194948,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Escherichia Stx1 converting phage
AP005154,194949,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Escherichia virus Stx2 II
AP008953,326036,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus virus phiETA2
AP008954,326037,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Phietavirus,Staphylococcus virus phiETA3
AP008979,329254,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Xipdecavirus,Xanthomonas virus OP1
AP008983,12336,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Clostridium phage c-st
AP008986,331627,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Naesvirus,Xanthomonas virus OP2
AP009146,373126,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Sodalis phage phiSG1
AP009363,430796,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Triavirus,Staphylococcus phage phi2958PVL
AP009390,442493,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Brockvirinae,Kochikohdavirus,Enterococcus virus EF24C
AP009624,504346,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Pseudomonas phage PAJU2
AP011113,66711,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Escherichia virus AR1
AP011616,407392,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Thermus phage phiYS40
AP011617,699370,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Thermus phage TMA
AP011955,874267,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus phage phi5967PVL
AP011956,874268,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Biseptimavirus,Staphylococcus phage phi7247PVL
AP012341,1165702,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Triavirus,Staphylococcus phage phi7401PVL
AP012529,1226252,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Escherichia virus Min27
AP012530,1226253,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Stx2-converting phage Stx2a_F349
AP012531,1226254,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Escherichia virus 933W
AP012532,1226255,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Stx2-converting phage Stx2a_F451
AP012533,1226256,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Stx2-converting phage Stx2a_F723
AP012534,1226257,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Oslovirus,Stx2-converting phage Stx2a_F765
AP012535,1226258,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Sepvirinae,Traversvirus,Stx2-converting phage Stx2a_WGPS9
AP012536,1226259,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Stx2-converting phage Stx2a_1447
AP012537,1226260,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Stx2-converting phage Stx2a_WGPS2
AP012538,1226261,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Stx2-converting phage Stx2a_WGPS4
AP012539,1226262,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Stx2-converting phage Stx2a_WGPS6
AP012540,1226263,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Stx2-converting phage Stx2a_WGPS8
AP013029,207656,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Nitunavirus,Bacillus virus NIT1
AP013057,1325372,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Yokohamavirus,Edwardsiella virus PEi21
AP013358,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013359,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013360,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013361,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013362,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013363,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013364,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013365,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013366,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013367,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013368,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013369,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013370,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013371,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013372,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013373,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013374,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
