accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
MH509441,2250290,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Acolyte
MH509442,2250291,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Aminay
MH509443,2250292,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Avle17
MH509444,2250293,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage BEEST
MH509445,2250294,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Mycobacterium phage Cborch11
MH509446,2250288,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Betterkatzvirus,Gordonia phage DelRio
MH509447,2250289,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Edenvirus,Microbacterium virus Eden
MH510275,2202564,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Myoviridae sp.
MH511048,2675446,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Podoviridae sp. ctbh1
MH512890,1048189,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Thaumasvirus,Synechococcus virus STIM4
MH513970,2250299,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Coopervirus,Mycobacterium phage Hangman
MH513971,2250300,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Hope4ever
MH513972,2250301,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage IHOP
MH513973,2250302,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Kwksand96
MH513974,2250295,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Soupsvirus,Gordonia phage LastResort
MH513975,2250303,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Misomonster
MH513976,2250304,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pipefishvirus,Mycobacterium phage Morty007
MH513977,2250305,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Mynx
MH513978,2250306,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Phaja
MH513979,2250296,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Pollux
MH513980,2250307,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Roy17
MH513981,2250297,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ilzatvirus,Microbacterium phage Papafritta
MH513982,2250298,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Elerivirus,Microbacterium phage Sansa
MH513983,2250308,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage ShereKhan
MH513984,2250309,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Steamy
MH513985,2250310,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Tomathan
MH517022,2202135,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,,,Acinetobacter phage SH-Ab 15599
MH518298,2249467,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,Krylovvirus,Pseudomonas phage SCYZ1
MH523359,2282399,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Ackermannviridae,Cvivirinae,Kuttervirus,Salmonella phage vB_SalM-LPST94
MH533020,2282400,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Vequintavirinae,,Acinetobacter phage ABPH49
MH536736,2282401,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Pbunavirus,Pseudomonas phage E79
MH536811,2250335,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Annadreamy
MH536812,2250319,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Apricotvirus,Gordonia virus Apricot
MH536813,2250325,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage AugsMagnumOpus
MH536814,2250336,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Blueeyedbeauty
MH536815,2250337,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Crosby
MH536816,2250326,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage DrFeelGood
MH536817,2250327,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Druantia
MH536818,2250320,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Frokostdame
MH536819,2250321,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Fury
MH536820,2250328,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Glexan
MH536821,2250329,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Homura
MH536822,2250330,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Joy99
MH536823,2250324,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Microbacterium phage Musetta
MH536824,2250322,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage NatB6
MH536825,2250331,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Ollie
MH536826,2250323,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ruthyvirus,Gordonia virus Ruthy
MH536827,2250332,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Simpliphy
MH536828,2250333,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Snape
MH536829,2250334,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage TBrady12
MH538193,2282402,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus,Bacillus phage Saddex
MH538296,2282408,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Bastillevirus,Bacillus phage Maceta
MH539650,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH540083,1332145,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Igirivirus,Synechococcus virus STIP37
MH542234,2282407,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Sepunavirus,Staphylococcus phage Terranova
MH547045,2282412,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lambdavirus,Enterobacteria phage O276
MH550421,10666,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Enterobacteria phage T6
MH552475,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH552499,2675444,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Podoviridae sp. ctcf755
MH552500,2212563,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,CrAssphage sp.
MH552514,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH552525,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH552526,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH552532,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH553517,2282409,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Serratia phage Scapp
MH553563,10692,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Tequatrovirus,Enterobacteria phage RB18
MH560358,2250214,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tevenvirinae,Krischvirus,Escherichia virus KFS-EC
MH571750,2282989,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Felixounavirus,Escherichia phage vB_EcoM-Ro111lw
MH576948,2283238,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Azathoth
MH576949,2283251,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage BreSam8
MH576950,2283239,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage CGermain
MH576951,2283240,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Copper
MH576952,2283241,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Dewayne
MH576953,2283255,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Hopey
MH576954,2283254,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage HSavage
MH576955,2283242,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Hunnie
MH576956,2283256,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Inca
MH576957,2283243,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Inspire2
MH576958,2283257,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage MichaelPhcott
MH576959,2283258,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Pita2
MH576960,2283246,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Pleakley
MH576961,2283244,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Decurrovirus,Arthrobacter phage Ronnie
MH576962,2283264,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Satis
MH576963,2283249,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Microbacterium phage Scamander
MH576964,2283266,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Starbow
MH576965,2283265,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage StarPlatinum
MH576966,2283261,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Thyatira
MH576967,2283263,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage UAch1
MH576968,2283267,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Wofford
MH576969,2283248,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Zarbodnamra
MH576970,2283253,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage DonSanchon
MH576971,2283250,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Arlo
MH576972,2283245,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Terapinvirus,Gordonia phage Beyoncage
MH576973,2283252,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Bronvirus,Mycobacterium phage Bromden
MH576974,2283259,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Sibs6
MH576975,2283260,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Target
MH576976,2283247,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Demosthenesvirus,Gordonia phage Teatealatte
MH576977,2283262,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pipefishvirus,Mycobacterium phage Tydolla
MH579717,2282994,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagibacter phage HTVC021P
MH586730,2283281,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Sashavirus,Salmonella phage Solent
MH586731,2283282,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ounavirinae,Felixounavirus,Salmonella phage Meda
MH587638,2268396,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Studiervirinae,Przondovirus,Klebsiella virus IME321
MH588544,2283269,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Dolichocephalovirinae,Poindextervirus,Caulobacter virus CcrBL10
MH588545,2283271,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Dolichocephalovirinae,Colossusvirus,Caulobacter virus CcrPW
MH588546,2283270,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Dolichocephalovirinae,Bertelyvirus,Caulobacter virus CcrBL9
MH588547,2283272,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Dolichocephalovirinae,Bertelyvirus,Caulobacter virus CcrSC
MH590587,2283301,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage xkcd
MH590588,2283300,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Vaticameos
MH590589,2283305,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage SparkleGoddess
MH590590,2283290,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Ilzatvirus,Microbacterium phage Schnapsidee
MH590591,2283293,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Rosebushvirus,Mycobacterium phage Sabella
MH590592,2283292,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Corndogvirus,Mycobacterium phage Ryadel
MH590593,2283291,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Bixzunavirus,Mycobacterium phage Rabinovish
MH590594,2283299,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage PinheadLarry
MH590595,2283298,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage NEHalo
MH590596,2283297,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Mantra
MH590597,2283304,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage LukeCage
MH590598,2283296,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Krakatau
MH590599,2283303,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Karimac
MH590600,2283289,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Quhwahvirus,Microbacterium phage KaiHaiDragon
MH590601,2283302,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Arquatrovirinae,Arequatrovirus,Streptomyces phage Haizum
MH590602,2283295,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Gorge
MH590603,2283286,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Daredevilvirus,Gordonia virus DareDevil
MH590604,2283288,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Elerivirus,Microbacterium phage ColaCorta
MH590605,2283294,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Liefievirus,Mycobacterium phage Cherrybomb426
MH590606,2283287,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Elerivirus,Microbacterium phage Andromedas
MH593831,2675443,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Podoviridae sp. ctdb7
MH593832,38018,Viruses,,,,,,,Bacteriophage sp.
MH593833,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH593834,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH595538,2283011,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Vibrio phage BONAISHI
MH598512,2283012,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Bacillus phage Wes44
MH598798,2283016,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagibacter phage HTVC022P
MH598799,2259657,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,,Pelagibacter phage HTVC025P
MH598800,2283017,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagibacter phage HTVC031P
MH598801,2283023,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Votkovvirus,Pelagibacter phage HTVC200P
MH598802,2283024,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagibacter phage HTVC201P
MH598803,2283022,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagibacter phage HTVC121P
MH598804,2283018,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagibacter phage HTVC105P
MH598805,2283019,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagibacter phage HTVC109P
MH598806,2283020,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Votkovvirus,Pelagibacter phage HTVC119P
MH598807,2283021,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,,Pelagibacter phage HTVC120P
MH599087,2283098,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Mardecavirus,Vibrio phage R01
MH606185,2283013,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,,Bacillus phage BSP38
MH616728,2202564,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Myoviridae sp.
MH616823,38018,Viruses,,,,,,,Bacteriophage sp.
MH616963,2212563,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,CrAssphage sp.
MH617115,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH617458,2202564,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Myoviridae sp.
MH617486,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH617654,2202568,Viruses,Uroviricota,Caudoviricetes,Caudovirales,,,,Caudovirales sp.
MH617769,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH618488,2283014,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Saphexavirus,Enterococcus phage vB_EfaS_HEf13
MH622910,2202568,Viruses,Uroviricota,Caudoviricetes,Caudovirales,,,,Caudovirales sp.
MH622919,2675442,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,,Podoviridae sp. ctbj_2
MH622920,2675448,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Podoviridae sp. ctda_1
MH622927,2675441,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp. ctdc_1
MH622937,2202564,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Myoviridae sp.
MH622939,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH622943,2202564,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,,Myoviridae sp.
MH626557,2283015,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Lentavirus,Eggerthella virus PMBT5
MH629685,2100130,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Kanaloavirus,Synechococcus virus S-PRM1
MH631453,2316013,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Chivirus,Salmonella phage Siskin
MH631454,2316014,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,Markadamsvirinae,Epseptimavirus,Salmonella virus Sw2
MH632117,2282908,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Homines
MH632118,2282911,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Zeeculate
MH632119,2282909,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Harley
MH632120,2282910,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,,Mycobacterium phage Thonko
MH633484,2301690,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,,Webervirus,Klebsiella virus TAH8
MH633485,2301688,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,,Webervirus,Klebsiella virus NJS2
MH633486,2301689,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,,Webervirus,Klebsiella phage NJS3
MH633487,2301687,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Drexlerviridae,,Webervirus,Klebsiella virus NJR15
MH636380,2293728,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Cylindrospermopsis raciborskii virus RM-2018a
MH638294,2282904,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,,,Ralstonia phage GP4
MH638309,2301683,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Caeruleovirus,Bacillus phage Hobo
MH638310,2301684,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Bastillevirus,Bacillus phage Kamfam
MH638311,2301686,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Wphvirus,Bacillus phage OmnioDeoPrimus
MH638312,2301685,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Bastillevirinae,Caeruleovirus,Bacillus phage Kioshi
MH643777,2283027,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Casadabanvirus,Pseudomonas phage YMC12/01/R960
MH643778,2283028,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Casadabanvirus,Pseudomonas phage YMC12/01/R24
MH645904,2301664,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Demerecviridae,,Pogseptimavirus,Vibrio virus PG07
MH648987,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH649243,2170413,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Siphoviridae sp.
MH651166,2301695,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vividuovirus,Gordonia phage Angelicage
MH651167,2301691,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Angelique
MH651168,2301692,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vividuovirus,Gordonia phage Ashertheman
MH651169,2301702,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Burwell21
MH651170,2301703,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage ChampagnePapi
MH651171,2301704,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Timquatrovirus,Mycobacterium phage Collard
MH651172,2301714,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Streptomyces phage Comrade
MH651173,2301699,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Dixon
MH651174,2301705,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Kostyavirus,Mycobacterium phage Easy2Say
MH651175,2301706,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Gophee
MH651176,2301696,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Langleyhallvirinae,Horusvirus,Gordonia virus Horus
MH651177,2301707,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage KlimbOn
MH651178,2301700,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage KristaRAM
MH651179,2301708,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage MadMarie
MH651180,2301709,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fromanvirus,Mycobacterium phage Maroc7
MH651181,2301698,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Microbacterium phage Minima
MH651182,2301693,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,Gordonia phage Neville
MH651183,2301710,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Nivrat
MH651184,2301711,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Phareon
MH651185,2301694,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Langleyhallvirinae,Phistoryvirus,Gordonia virus Phistory
MH651186,2301712,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bclasvirinae,Pegunavirus,Mycobacterium phage Podrick
MH651187,2301701,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Renaud18
MH651188,2301713,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Cheoctovirus,Mycobacterium phage Ruby
MH651189,2301697,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Vendettavirus,Gordonia phage Schmidt
MH651190,2301715,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Arquatrovirinae,Arequatrovirus,Streptomyces phage Thestral
